customer_id,customer_segment,acquisition_channel,signup_date
CUST-0239,Small Business,Email Campaign,2022-08-22
CUST-0240,Small Business,Organic Search,2023-11-15
CUST-0241,Small Business,Referral,2023-10-26
CUST-0242,Consumer,Organic Search,2024-04-06
CUST-0243,Consumer,Social Media,2023-01-09
CUST-0244,Corporate,Social Media,2023-11-03
CUST-0245,Consumer,Email Campaign,2023-08-31
CUST-0246,Consumer,Referral,2023-04-17
CUST-0247,Consumer,Organic Search,2022-08-21
CUST-0248,Consumer,Email Campaign,2023-11-23
CUST-0249,Consumer,Organic Search,2022-04-23
CUST-0250,Corporate,Social Media,2024-04-09
CUST-0251,Consumer,Social Media,2023-05-12
CUST-0252,Consumer,Social Media,2023-03-18
CUST-0253,Consumer,Organic Search,2023-07-18
CUST-0254,Corporate,Email Campaign,2022-09-25
CUST-0255,Consumer,Organic Search,2023-05-25
CUST-0256,Consumer,Organic Search,2024-03-17
CUST-0257,Small Business,Social Media,2023-01-21
CUST-0258,Small Business,Paid Ads,2023-01-22
CUST-0259,Small Business,Email Campaign,2022-04-23
CUST-0260,Corporate,Paid Ads,2023-09-05
CUST-0261,Consumer,Organic Search,2023-09-17
CUST-0262,Small Business,Email Campaign,2022-03-22
CUST-0263,Consumer,Paid Ads,2023-11-30
CUST-0264,Small Business,Organic Search,2022-04-23
CUST-0265,Small Business,Social Media,2022-01-02
CUST-0266,Small Business,Paid Ads,2023-10-04
CUST-0267,Small Business,Paid Ads,2022-08-08
CUST-0268,Consumer,Paid Ads,2023-07-20
CUST-0269,Consumer,Email Campaign,2024-05-04
CUST-0270,Corporate,Email Campaign,2024-01-06
CUST-0271,Corporate,Social Media,2022-08-13
CUST-0272,Consumer,Organic Search,2023-01-20
CUST-0273,Consumer,Email Campaign,2023-02-07
CUST-0274,Consumer,Social Media,2023-09-30
CUST-0275,Small Business,Social Media,2022-05-10
CUST-0276,Small Business,Paid Ads,2022-02-22
CUST-0277,Consumer,Email Campaign,2023-11-15
CUST-0278,Consumer,Social Media,2023-12-31
CUST-0279,Small Business,Organic Search,2023-11-03
CUST-0280,Small Business,Paid Ads,2023-12-11
CUST-0281,Consumer,Email Campaign,2023-02-20
CUST-0282,Consumer,Organic Search,2022-09-04
CUST-0283,Consumer,Referral,2024-04-15
CUST-0284,Consumer,Social Media,2023-03-15
CUST-0285,Consumer,Social Media,2022-07-22
CUST-0286,Small Business,Organic Search,2022-07-03
CUST-0287,Small Business,Organic Search,2022-05-03
CUST-0288,Consumer,Referral,2023-02-05
CUST-0289,Small Business,Organic Search,2024-02-06
CUST-0290,Consumer,Social Media,2022-10-21
CUST-0291,Consumer,Paid Ads,2022-10-07
CUST-0292,Consumer,Organic Search,2024-04-16
CUST-0293,Consumer,Organic Search,2024-06-02
CUST-0294,Small Business,Paid Ads,2023-09-02
CUST-0295,Corporate,Referral,2022-07-17
CUST-0296,Consumer,Paid Ads,2024-06-25
CUST-0297,Consumer,Paid Ads,2023-05-26
CUST-0298,Small Business,Organic Search,2024-01-22
CUST-0299,Consumer,Paid Ads,2022-05-24
CUST-0300,Consumer,Paid Ads,2023-09-01
CUST-0301,Small Business,Email Campaign,2022-07-20
CUST-0302,Consumer,Paid Ads,2022-05-04
CUST-0303,Consumer,Paid Ads,2022-07-06
CUST-0304,Consumer,Organic Search,2022-11-22
CUST-0305,Small Business,Referral,2023-04-09
CUST-0306,Consumer,Organic Search,2022-12-15
CUST-0307,Consumer,Organic Search,2024-02-10
CUST-0308,Small Business,Social Media,2023-10-22
CUST-0309,Consumer,Paid Ads,2024-02-03
CUST-0310,Small Business,Paid Ads,2023-02-07
CUST-0311,Consumer,Paid Ads,2022-12-12
CUST-0312,Corporate,Social Media,2023-05-26
CUST-0313,Consumer,Organic Search,2022-05-27
CUST-0314,Consumer,Email Campaign,2022-05-28
CUST-0315,Consumer,Social Media,2024-05-13
CUST-0316,Consumer,Paid Ads,2023-12-12
CUST-0317,Small Business,Paid Ads,2024-03-30
CUST-0318,Corporate,Organic Search,2023-05-04
CUST-0319,Consumer,Social Media,2023-10-02
CUST-0320,Consumer,Paid Ads,2023-07-05
CUST-0321,Small Business,Organic Search,2022-12-04
CUST-0322,Corporate,Paid Ads,2024-05-21
CUST-0323,Consumer,Referral,2023-10-03
CUST-0324,Consumer,Paid Ads,2024-02-18
CUST-0325,Consumer,Referral,2023-04-18
CUST-0326,Small Business,Organic Search,2022-05-31
CUST-0327,Consumer,Organic Search,2023-02-19
CUST-0328,Consumer,Organic Search,2022-10-25
CUST-0329,Consumer,Paid Ads,2023-09-03
CUST-0330,Small Business,Organic Search,2022-09-20
CUST-0331,Consumer,Organic Search,2024-02-03
CUST-0332,Consumer,Email Campaign,2022-05-24
CUST-0333,Consumer,Email Campaign,2022-12-12
CUST-0334,Consumer,Social Media,2023-09-16
CUST-0335,Consumer,Organic Search,2023-07-26
CUST-0336,Consumer,Organic Search,2024-05-30
CUST-0337,Consumer,Organic Search,2022-01-02
CUST-0338,Consumer,Social Media,2024-06-15
CUST-0339,Consumer,Referral,2022-10-31
CUST-0340,Small Business,Paid Ads,2022-09-11
CUST-0341,Small Business,Organic Search,2023-10-14
CUST-0342,Consumer,Paid Ads,2023-03-29
CUST-0343,Small Business,Organic Search,2022-02-06
CUST-0344,Consumer,Paid Ads,2022-06-09
CUST-0345,Consumer,Paid Ads,2022-01-09
CUST-0346,Consumer,Social Media,2022-08-21
CUST-0347,Consumer,Organic Search,2022-04-09
CUST-0348,Small Business,Organic Search,2023-10-21
CUST-0349,Small Business,Referral,2024-03-26
CUST-0350,Small Business,Organic Search,2022-07-27
CUST-0351,Consumer,Organic Search,2022-05-11
CUST-0352,Consumer,Organic Search,2023-02-08
CUST-0353,Consumer,Organic Search,2022-06-01
CUST-0354,Consumer,Paid Ads,2022-02-23
CUST-0355,Consumer,Email Campaign,2022-04-30
CUST-0356,Consumer,Organic Search,2023-11-04
CUST-0357,Consumer,Paid Ads,2023-09-20
CUST-0358,Consumer,Social Media,2023-08-10
CUST-0359,Small Business,Paid Ads,2023-09-17
CUST-0360,Corporate,Email Campaign,2023-02-24
CUST-0361,Corporate,Email Campaign,2023-02-26
CUST-0362,Consumer,Organic Search,2022-04-14
CUST-0363,Consumer,Social Media,2024-05-01
CUST-0364,Consumer,Paid Ads,2022-09-11
CUST-0365,Small Business,Referral,2022-08-15
CUST-0366,Consumer,Paid Ads,2022-04-22
CUST-0367,Consumer,Referral,2023-05-25
CUST-0368,Small Business,Social Media,2023-04-18
CUST-0369,Consumer,Organic Search,2022-04-09
CUST-0370,Consumer,Paid Ads,2022-06-02
CUST-0371,Consumer,Referral,2024-05-10
CUST-0372,Consumer,Email Campaign,2024-06-14
CUST-0373,Consumer,Organic Search,2024-05-27
CUST-0374,Consumer,Social Media,2022-12-04
CUST-0375,Consumer,Organic Search,2023-12-07
CUST-0376,Consumer,Organic Search,2024-04-01
CUST-0377,Small Business,Paid Ads,2022-06-12
CUST-0378,Consumer,Organic Search,2023-12-21
CUST-0379,Consumer,Email Campaign,2023-11-12
CUST-0380,Consumer,Organic Search,2022-06-10
CUST-0381,Corporate,Email Campaign,2023-08-03
CUST-0382,Consumer,Organic Search,2024-03-11
CUST-0383,Consumer,Organic Search,2023-02-02
CUST-0384,Small Business,Organic Search,2022-10-04
CUST-0385,Small Business,Organic Search,2024-03-26
CUST-0386,Consumer,Organic Search,2023-05-19
CUST-0387,Small Business,Organic Search,2024-06-14
CUST-0388,Consumer,Paid Ads,2023-01-27
CUST-0389,Consumer,Organic Search,2022-05-15
CUST-0390,Consumer,Paid Ads,2022-07-14
CUST-0391,Consumer,Paid Ads,2023-02-05
CUST-0392,Small Business,Email Campaign,2023-10-02
CUST-0393,Consumer,Email Campaign,2022-02-02
CUST-0394,Consumer,Paid Ads,2023-11-19
CUST-0395,Small Business,Organic Search,2023-04-05
CUST-0396,Small Business,Organic Search,2024-06-01
CUST-0397,Consumer,Referral,2023-04-15
CUST-0398,Consumer,Organic Search,2023-01-10
CUST-0399,Consumer,Organic Search,2022-01-22
CUST-0400,Small Business,Organic Search,2024-01-20
CUST-0401,Small Business,Organic Search,2023-11-01
CUST-0402,Corporate,Organic Search,2022-02-07
CUST-0403,Consumer,Social Media,2022-08-18
CUST-0404,Consumer,Organic Search,2022-12-31
CUST-0405,Consumer,Social Media,2023-07-17
CUST-0406,Consumer,Organic Search,2023-03-14
CUST-0407,Consumer,Organic Search,2024-02-15
CUST-0408,Corporate,Email Campaign,2022-10-10
CUST-0409,Consumer,Organic Search,2022-01-27
CUST-0410,Consumer,Email Campaign,2022-08-14
CUST-0411,Small Business,Paid Ads,2022-10-04
CUST-0412,Consumer,Organic Search,2024-03-08
CUST-0413,Small Business,Referral,2023-09-01
CUST-0414,Consumer,Organic Search,2022-10-11
CUST-0415,Consumer,Email Campaign,2024-05-28
CUST-0416,Consumer,Organic Search,2023-04-26
CUST-0417,Consumer,Email Campaign,2023-03-29
CUST-0418,Corporate,Organic Search,2024-04-08
CUST-0419,Consumer,Paid Ads,2024-03-26
CUST-0420,Consumer,Social Media,2023-10-21
CUST-0421,Consumer,Referral,2023-05-31
CUST-0422,Consumer,Email Campaign,2023-07-01
CUST-0423,Corporate,Email Campaign,2022-07-11
CUST-0424,Consumer,Email Campaign,2022-02-18
CUST-0425,Small Business,Organic Search,2023-05-27
CUST-0426,Corporate,Organic Search,2022-01-17
CUST-0427,Consumer,Organic Search,2022-06-21
CUST-0428,Corporate,Paid Ads,2022-08-08
CUST-0429,Consumer,Paid Ads,2022-06-07
CUST-0430,Consumer,Paid Ads,2023-04-22
CUST-0431,Consumer,Organic Search,2022-02-15
CUST-0432,Small Business,Social Media,2023-01-08
CUST-0433,Corporate,Organic Search,2023-06-02
CUST-0434,Consumer,Organic Search,2022-04-09
CUST-0435,Small Business,Paid Ads,2024-06-10
CUST-0436,Consumer,Social Media,2024-01-15
CUST-0437,Consumer,Social Media,2022-02-06
CUST-0438,Consumer,Social Media,2022-10-07
CUST-0439,Corporate,Organic Search,2022-12-15
CUST-0440,Consumer,Paid Ads,2023-05-12
CUST-0441,Consumer,Organic Search,2022-10-29
CUST-0442,Consumer,Paid Ads,2022-06-30
CUST-0443,Consumer,Paid Ads,2023-08-30
CUST-0444,Consumer,Organic Search,2022-04-09
CUST-0445,Consumer,Organic Search,2023-12-01
CUST-0446,Small Business,Referral,2022-04-26
CUST-0447,Consumer,Referral,2022-07-10
CUST-0448,Consumer,Paid Ads,2022-09-10
CUST-0449,Consumer,Organic Search,2022-06-10
CUST-0450,Small Business,Organic Search,2022-09-13
CUST-0451,Small Business,Paid Ads,2022-11-19
CUST-0452,Consumer,Referral,2022-05-08
CUST-0453,Small Business,Organic Search,2022-01-18
CUST-0454,Consumer,Social Media,2024-03-03
CUST-0455,Consumer,Organic Search,2024-01-05
CUST-0456,Consumer,Referral,2023-07-20
CUST-0457,Consumer,Paid Ads,2023-07-24
CUST-0458,Consumer,Social Media,2022-11-19
CUST-0459,Corporate,Organic Search,2024-05-21
CUST-0460,Small Business,Paid Ads,2023-11-17
CUST-0461,Small Business,Organic Search,2024-03-02
CUST-0462,Consumer,Organic Search,2023-09-18
CUST-0463,Consumer,Referral,2022-10-15
CUST-0464,Small Business,Email Campaign,2024-05-03
CUST-0465,Consumer,Email Campaign,2023-10-25
CUST-0466,Consumer,Paid Ads,2023-10-01
CUST-0467,Consumer,Email Campaign,2022-06-04
CUST-0468,Small Business,Organic Search,2023-05-05
CUST-0469,Consumer,Organic Search,2023-01-21
CUST-0470,Consumer,Organic Search,2024-02-24
CUST-0471,Small Business,Social Media,2022-04-14
CUST-0472,Consumer,Paid Ads,2023-01-28
CUST-0473,Consumer,Organic Search,2024-03-21
CUST-0474,Consumer,Paid Ads,2022-09-03
CUST-0475,Consumer,Email Campaign,2022-06-25
CUST-0476,Small Business,Paid Ads,2022-02-08
CUST-0477,Consumer,Organic Search,2023-04-22
CUST-0478,Consumer,Organic Search,2023-11-13
CUST-0479,Small Business,Organic Search,2024-01-29
CUST-0480,Small Business,Organic Search,2023-06-22
CUST-0481,Small Business,Social Media,2024-05-16
CUST-0482,Consumer,Paid Ads,2024-03-28
CUST-0483,Consumer,Social Media,2023-02-12
CUST-0484,Corporate,Paid Ads,2023-06-09
CUST-0485,Small Business,Email Campaign,2024-04-07
CUST-0486,Consumer,Organic Search,2023-05-21
CUST-0487,Consumer,Paid Ads,2024-06-21
CUST-0488,Consumer,Email Campaign,2024-04-04
CUST-0489,Corporate,Organic Search,2022-02-05
CUST-0490,Consumer,Organic Search,2023-11-16
CUST-0491,Consumer,Email Campaign,2022-01-20
CUST-0492,Consumer,Organic Search,2022-11-17
CUST-0493,Small Business,Social Media,2024-02-15
CUST-0494,Small Business,Organic Search,2023-05-27
CUST-0495,Consumer,Social Media,2023-02-04
CUST-0496,Small Business,Organic Search,2023-10-16
CUST-0497,Corporate,Organic Search,2024-06-01
CUST-0498,Consumer,Paid Ads,2023-04-16
CUST-0499,Consumer,Organic Search,2022-05-23
CUST-0500,Consumer,Paid Ads,2022-04-02
CUST-0501,Small Business,Organic Search,2022-12-20
CUST-0502,Consumer,Organic Search,2024-04-13
CUST-0503,Consumer,Organic Search,2024-03-10
CUST-0504,Small Business,Organic Search,2023-12-28
CUST-0505,Consumer,Email Campaign,2024-05-03
CUST-0506,Corporate,Organic Search,2022-02-20
CUST-0507,Consumer,Paid Ads,2023-10-27
CUST-0508,Consumer,Organic Search,2023-11-29
CUST-0509,Small Business,Organic Search,2023-07-29
CUST-0510,Small Business,Referral,2022-07-09
CUST-0511,Consumer,Organic Search,2022-05-05
CUST-0512,Small Business,Referral,2022-05-30
CUST-0513,Corporate,Organic Search,2022-11-10
CUST-0514,Consumer,Social Media,2023-07-24
CUST-0515,Corporate,Paid Ads,2022-12-08
CUST-0516,Consumer,Email Campaign,2022-11-01
CUST-0517,Consumer,Paid Ads,2023-11-23
CUST-0518,Consumer,Paid Ads,2023-11-13
CUST-0519,Corporate,Organic Search,2024-04-17
CUST-0520,Small Business,Organic Search,2024-02-22
CUST-0521,Consumer,Email Campaign,2022-02-23
CUST-0522,Consumer,Organic Search,2023-03-20
CUST-0523,Consumer,Paid Ads,2023-09-05
CUST-0524,Consumer,Social Media,2022-09-21
CUST-0525,Corporate,Organic Search,2022-02-22
CUST-0526,Small Business,Referral,2023-07-26
CUST-0527,Consumer,Social Media,2023-09-12
CUST-0528,Corporate,Paid Ads,2022-01-05
CUST-0529,Consumer,Email Campaign,2022-04-13
CUST-0530,Corporate,Organic Search,2022-07-15
CUST-0531,Small Business,Organic Search,2024-02-13
CUST-0532,Consumer,Paid Ads,2024-05-26
CUST-0533,Consumer,Organic Search,2024-06-02
CUST-0534,Corporate,Social Media,2022-12-16
CUST-0535,Consumer,Email Campaign,2022-02-16
CUST-0536,Consumer,Paid Ads,2024-05-16
CUST-0537,Consumer,Organic Search,2024-04-02
CUST-0538,Consumer,Referral,2024-03-30
CUST-0539,Consumer,Paid Ads,2023-10-18
CUST-0540,Small Business,Paid Ads,2022-09-26
CUST-0541,Corporate,Paid Ads,2023-01-05
CUST-0542,Consumer,Email Campaign,2023-09-28
CUST-0543,Small Business,Paid Ads,2022-04-16
CUST-0544,Consumer,Social Media,2023-11-01
CUST-0545,Small Business,Email Campaign,2023-10-21
CUST-0546,Small Business,Organic Search,2023-10-19
CUST-0547,Consumer,Paid Ads,2022-04-30
CUST-0548,Small Business,Email Campaign,2024-04-10
CUST-0549,Consumer,Paid Ads,2024-02-26
CUST-0550,Consumer,Social Media,2023-08-27
CUST-0551,Small Business,Referral,2022-02-27
CUST-0552,Consumer,Paid Ads,2022-12-12
CUST-0553,Consumer,Social Media,2024-01-11
CUST-0554,Consumer,Email Campaign,2023-04-19
CUST-0555,Small Business,Email Campaign,2022-04-27
CUST-0556,Consumer,Paid Ads,2024-04-09
